id,SAMPLE_ID,FILENAME,ALT_SAMLE_ID,DATA_FROMAT,SAMPLE_TYPE,PASSAGE,SUBJECT_ID,EXPERIMENTAL_STRATEGY,PAIRED_END,CAPTURE_KIT,PLATFORM,FILESIZE,CHECKSUM,,
5d5ffcfce4b011b5291791ce,HCI003_pdx_P3_XXX_WXS_10960X5,10960X5_HCI-003_PDXtumor_P3_file1.txt.gz,10960X5,1,2,3,HCI-003,1,1,2,1,,,,
5d5ffcfce4b011b52917923f,HCI003_pdx_P3_XXX_WXS_10960X5,10960X5_HCI-003_PDXtumor_P3_file2.txt.gz,10960X5,1,2,3,HCI-003,1,2,2,1,,,,
5d5ffcfce4b011b52917923c,HCI004_pdx_P3_XXX_WXS_10960X7,10960X7_HCI-004_PDXtumor_P3_file1.txt.gz,10960X7,1,2,3,HCI-004,1,1,2,1,,,,
5d5ffcfce4b011b52917921c,HCI004_pdx_P3_XXX_WXS_10960X7,10960X7_HCI-004_PDXtumor_P3_file2.txt.gz,10960X7,1,2,3,HCI-004,1,2,2,1,,,,
5d5ffcfce4b011b529179226,HCI005_pdx_P3_XXX_WXS_10960X8,10960X8_HCI-005_PDXtumor_P3_file1.txt.gz,10960X8,1,2,3,HCI-005,1,1,2,1,,,,
5d5ffcfce4b011b5291791d0,HCI005_pdx_P3_XXX_WXS_10960X8,10960X8_HCI-005_PDXtumor_P3_file2.txt.gz,10960X8,1,2,3,HCI-005,1,2,2,1,,,,
5d5ffcfce4b011b52917921f,HCI006_pdx_P3_XXX_WXS_10960X9,10960X9_HCI-006_PDXtumor_P3_file1.txt.gz,10960X9,1,2,3,HCI-006,1,1,2,1,,,,
5d5ffcfce4b011b5291791cf,HCI006_pdx_P3_XXX_WXS_10960X9,10960X9_HCI-006_PDXtumor_P3_file2.txt.gz,10960X9,1,2,3,HCI-006,1,2,2,1,,,,
5d5ffdb4e4b09cae76807b48,HCI001_pdx_P3_XXX_RNA_10962X1,10962X1_HCI001_PDXtumor_P3_1.txt.gz,10962X1,1,2,3,HCI-001,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ad7,HCI001_pdx_P3_XXX_RNA_10962X1,10962X1_HCI001_PDXtumor_P3_2.txt.gz,10962X1,1,2,3,HCI-001,2,2,4,1,,,,
5d5ffdb4e4b09cae76807970,HCI007_pdx_P3_XXX_RNA_10962X10,10962X10_HCI007_PDXtumor_P3_1.txt.gz,10962X10,1,2,3,HCI-007,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a5f,HCI007_pdx_P3_XXX_RNA_10962X10,10962X10_HCI007_PDXtumor_P3_2.txt.gz,10962X10,1,2,3,HCI-007,2,2,4,1,,,,
5d5ffdb4e4b09cae76807a66,HCI008_pdx_P4_XXX_RNA_10962X11,10962X11_HCI008_PDXtumor_P4_1.txt.gz,10962X11,1,2,4,HCI-008,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a6a,HCI008_pdx_P4_XXX_RNA_10962X11,10962X11_HCI008_PDXtumor_P4_2.txt.gz,10962X11,1,2,4,HCI-008,2,2,4,1,,,,
5d5ffdb4e4b09cae76807a54,HCI009_pdx_P3_XXX_RNA_10962X12,10962X12_HCI009_PDXtumor_P3_1.txt.gz,10962X12,1,2,3,HCI-009,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a57,HCI009_pdx_P3_XXX_RNA_10962X12,10962X12_HCI009_PDXtumor_P3_2.txt.gz,10962X12,1,2,3,HCI-009,2,2,4,1,,,,
5d5ffdb4e4b09cae76807aea,HCI010_pdx_P3_XXX_RNA_10962X14,10962X14_HCI010_PDXtumor_P3_1.txt.gz,10962X14,1,2,3,HCI-010,2,1,4,1,,,,
5d5ffdb4e4b09cae76807962,HCI010_pdx_P3_XXX_RNA_10962X14,10962X14_HCI010_PDXtumor_P3_2.txt.gz,10962X14,1,2,3,HCI-010,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ae4,HCI011_pdx_P3_XXX_RNA_10962X15,10962X15_HCI011_PDXtumor_P3_1.txt.gz,10962X15,1,2,3,HCI-011,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ae2,HCI011_pdx_P3_XXX_RNA_10962X15,10962X15_HCI011_PDXtumor_P3_2.txt.gz,10962X15,1,2,3,HCI-011,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ae0,HCI012_pdx_P4_XXX_RNA_10962X16,10962X16_HCI012_PDXtumor_P4_1.txt.gz,10962X16,1,2,4,HCI-012,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ade,HCI012_pdx_P4_XXX_RNA_10962X16,10962X16_HCI012_PDXtumor_P4_2.txt.gz,10962X16,1,2,4,HCI-012,2,2,4,1,,,,
5d5ffdb4e4b09cae76807adb,HCI013_pdx_P3_XXX_RNA_10962X17,10962X17_HCI013_PDXtumor_P3_1.txt.gz,10962X17,1,2,3,HCI-013,2,1,4,1,,,,
5d5ffdb4e4b09cae76807a69,HCI013_pdx_P3_XXX_RNA_10962X17,10962X17_HCI013_PDXtumor_P3_2.txt.gz,10962X17,1,2,3,HCI-013,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ae5,HCI015_pdx_P3_XXX_RNA_10962X18,10962X18_HCI015_PDXtumor_P3_1.txt.gz,10962X18,1,2,3,HCI-015,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ae1,HCI015_pdx_P3_XXX_RNA_10962X18,10962X18_HCI015_PDXtumor_P3_2.txt.gz,10962X18,1,2,3,HCI-015,2,2,4,1,,,,
5d5ffdb4e4b09cae76807adc,HCI017_pdx_P2_XXX_RNA_10962X19,10962X19_HCI016_PDXtumor_P2_1.txt.gz,10962X19,1,2,2,HCI-016,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ad8,HCI017_pdx_P2_XXX_RNA_10962X19,10962X19_HCI016_PDXtumor_P2_2.txt.gz,10962X19,1,2,2,HCI-016,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ac0,HCI001_pdx_P7_XXX_RNA_10962X2,10962X2_HCI001_PDXtumor_P7_1.txt.gz,10962X2,1,2,7,HCI-001,2,1,4,1,,,,
5d5ffdb4e4b09cae76807ac4,HCI001_pdx_P7_XXX_RNA_10962X2,10962X2_HCI001_PDXtumor_P7_2.txt.gz,10962X2,1,2,7,HCI-001,2,2,4,1,,,,
5d5ffdb4e4b09cae76807ad9,HCI016_pdx_P2_XXX_RNA_10962X20,10962X20_HCI017_PDXtumor_P2_1.txt.gz,10962X20,1,2,2,HCI-017,2,1,4,1,,,,
